Timestamp,Topico,Mensagem
2026-01-29 16:21:32,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-70,""raw"":7.69,""distance"":7.54,""var"":3.53,""int"":5079}"
2026-01-29 16:21:32,espresense/devices/apple:findmy/esp32_s3_extra_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-77,""raw"":12.18,""distance"":14.69,""var"":2.64,""int"":16034}"
2026-01-29 16:21:33,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-81,""raw"":15.85,""distance"":8.35,""var"":12.42,""int"":5442}"
2026-01-29 16:21:34,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-75,""raw"":14.84,""distance"":12.62,""var"":8.18,""int"":21391}"
2026-01-29 16:21:34,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-73,""raw"":9.36,""distance"":9.45,""var"":0.56,""int"":12986}"
2026-01-29 16:21:34,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-74,""raw"":10.00,""distance"":10.10,""var"":3.44,""int"":6398}"
2026-01-29 16:21:34,espresense/devices/apple:findmy/esp32_s3_5,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-81,""raw"":15.85,""distance"":15.85,""int"":1}"
2026-01-29 16:21:37,espresense/devices/apple:findmy/esp32_s3_3,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-72,""raw"":8.77,""distance"":7.52,""var"":2.51,""int"":5079}"
2026-01-29 16:21:38,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-73,""raw"":9.36,""distance"":9.15,""var"":11.85,""int"":5440}"
2026-01-29 16:21:38,espresense/devices/apple:findmy/esp32_s3_6,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-80,""raw"":15.85,""distance"":13.21,""var"":3.36,""int"":5289}"
2026-01-29 16:21:39,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-74,""raw"":10.00,""distance"":9.84,""var"":0.56,""int"":12933}"
2026-01-29 16:21:39,espresense/devices/apple:findmy/esp32_s3_5,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-78,""raw"":13.01,""distance"":15.72,""var"":0.62,""int"":1667}"
2026-01-29 16:21:40,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-52,""raw"":2.35,""distance"":10.07,""var"":8.35,""int"":6392}"
2026-01-29 16:21:42,espresense/devices/apple:findmy/esp32_s3_6,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-67,""raw"":6.31,""distance"":14.05,""var"":8.03,""int"":5284}"
2026-01-29 16:21:43,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-74,""raw"":10.00,""distance"":8.98,""var"":11.93,""int"":5439}"
2026-01-29 16:21:44,espresense/devices/apple:findmy/esp32_s3_5,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-78,""raw"":13.01,""distance"":15.66,""var"":1.67,""int"":2000}"
2026-01-29 16:21:45,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-50,""raw"":2.06,""distance"":9.78,""var"":13.14,""int"":6372}"
2026-01-29 16:21:52,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""cfeb086c7919"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-73,""raw"":9.36,""distance"":9.41,""var"":0.56,""int"":12934}"
2026-01-29 16:21:52,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-46,""raw"":1.58,""distance"":8.88,""var"":17.48,""int"":6381}"
2026-01-29 16:21:52,espresense/devices/apple:findmy/esp32_s3_6,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-61,""raw"":4.25,""distance"":13.39,""var"":14.16,""int"":5302}"
2026-01-29 16:21:52,espresense/devices/apple:findmy/esp32_s3_5,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-75,""raw"":13.01,""distance"":15.20,""var"":3.47,""int"":3007}"
2026-01-29 16:21:56,espresense/devices/apple:findmy/esp32_s3_2,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":250,""rssi@1m"":-39,""rssi"":-75,""raw"":10.68,""distance"":8.98,""var"":12.09,""int"":5460}"
2026-01-29 16:21:56,espresense/devices/apple:findmy/esp32_s3_1,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-44,""raw"":1.39,""distance"":8.37,""var"":21.63,""int"":6348}"
2026-01-29 16:21:56,espresense/devices/apple:findmy/esp32_s3_5,"{""mac"":""c69b7d6a81e7"",""id"":""apple:findmy"",""name"":""Tag"",""idType"":32,""rssi@1m"":-39,""rssi"":-78,""raw"":13.01,""distance"":14.58,""var"":5.92,""int"":2756}"
